gene	high_median	low_median	logCPM_difference	p_value	fdr
PHPT1	5.281407249218857	5.19170805580348	0.08969919341537658	0.3631023416636381	0.5226743044845191
NXNL1	0.0	0.0	0.0	0.36295391425751056	0.5226743044845191
LOC102724009	0.34827254414950526	0.25129604699789687	0.09697649715160839	0.36293828074679113	0.5226743044845191
ZNF98	0.0	0.0	0.0	0.36309838615512935	0.5226743044845191
LOC101928109	0.0	0.0	0.0	0.36295391425751056	0.5226743044845191
SNTA1	2.658174111646236	2.5752986912938316	0.08287542035240447	0.3630695392278054	0.5226743044845191
PTPRS	2.2879124458142313	1.9937761254014168	0.29413632041281446	0.3630695392278054	0.5226743044845191
HMGCS2	0.0	0.0	0.0	0.36309838615512935	0.5226743044845191
IL20RA	0.02450787453428695	0.0	0.02450787453428695	0.363107642610102	0.5226743044845191
ADORA1	0.611007567606689	0.5235042714765814	0.08750329613010754	0.3630203264375166	0.5226743044845191
CYP2A13	0.0	0.0	0.0	0.36295391425751056	0.5226743044845191
SLC5A12	0.06054936617695665	0.0436472918059499	0.01690207437100675	0.36351522561900784	0.5232382620950402
RCAN3AS	0.1582175647757712	0.10438240536350704	0.05383515941226416	0.36374695787645306	0.5235263176318814
DNTT	0.0	0.0	0.0	0.3637435897869019	0.5235263176318814
LOC102724808	0.02450787453428695	0.0	0.02450787453428695	0.363839871821089	0.5236372939108223
CRABP1	0.0993693225740622	0.03504993935829525	0.06431938321576694	0.3655761443557334	0.5261132747383798
LOC101929918	0.0559956436187011	0.0126274781454911	0.04336816547321	0.3657324704080487	0.5263153835847352
ADCY8	0.0	0.0	0.0	0.3658186876793772	0.5263937208664718
LOC101060024	0.0	0.0	0.0	0.3658186876793772	0.5263937208664718
BRINP3	0.0	0.0	0.0	0.36639849084044285	0.5272051258613721
WDR86	0.7160433944383773	0.4881707937822163	0.227872600656161	0.3671548196788704	0.5282475050678536
C19orf18	0.5613524349221815	0.4506794139075732	0.11067302101460824	0.3671548196788704	0.5282475050678536
TRNAR6	0.0	0.0	0.0	0.367933547923297	0.528679045220228
RP11-451G4.2	0.0	0.0	0.0	0.367933547923297	0.528679045220228
LOC101928962	0.0	0.0	0.0	0.367933547923297	0.528679045220228
C8A	0.0	0.0	0.0	0.367933547923297	0.528679045220228
APOH	0.0	0.0	0.0	0.367933547923297	0.528679045220228
ADAM7	0.0	0.0	0.0	0.367933547923297	0.528679045220228
MIR623	0.0	0.0	0.0	0.367933547923297	0.528679045220228
ZNF664-FAM101A	0.0	0.0	0.0	0.367933547923297	0.528679045220228
LOC102723853	0.0	0.0	0.0	0.367933547923297	0.528679045220228
LOC102723385	0.0	0.0	0.0	0.367933547923297	0.528679045220228
LINC00348	0.0	0.0	0.0	0.367933547923297	0.528679045220228
TEKT1	0.0	0.0	0.0	0.367933547923297	0.528679045220228
LOC102723757	0.0	0.0	0.0	0.367933547923297	0.528679045220228
OR2H1	0.0	0.0	0.0	0.367933547923297	0.528679045220228
LOC100505797	0.0	0.0	0.0	0.367933547923297	0.528679045220228
