sample	gsm	coo	IFI16	AIM2	MNDA	PYHIN1
GSM4451402_LM150005	GSM4451402	Type_3	7.780226337104295	6.506631409161091	4.501275156278997	4.737085552461088
GSM4451403_LM150009	GSM4451403	GCB	8.133045043676393	7.288459199607348	5.773165631015556	5.121868960349997
GSM4451404_LM150086	GSM4451404	GCB	4.375194524815329	4.652360154772648	0.7617117071322574	0.6637735253880659
GSM4451405_LM150092	GSM4451405	GCB	3.5690067040888915	1.465912185339479	0.9848448141758924	0.5748767531869869
GSM4451406_LM150094	GSM4451406	ABC	0.7721729401145649	0.7167635882309001	0.3304395545502947	0.0899714285874752
GSM4451407_LM150107	GSM4451407	Type_3	2.0800407088215227	2.3141624789292665	1.211703044314963	0.1688489400528951
GSM4451408_LM150111	GSM4451408	GCB	5.878615518784097	3.316478610715236	2.5058454102950902	3.49656152807372
GSM4451409_LM150113	GSM4451409	ABC	6.382407752416443	5.576948025717659	1.9932179122017568	1.035435615878441
GSM4451410_LM150114	GSM4451410	ABC	7.707037976556766	4.684311566844123	6.640428417103876	1.9412341250411085
GSM4451411_LM150120	GSM4451411	Type_3	8.483031045987836	7.828343679045981	4.027704481890942	5.606369211736965
GSM4451412_LM150121	GSM4451412	ABC	7.845491390787351	6.078054937287401	5.168845471387215	5.249581813574842
GSM4451413_LM150123	GSM4451413	GCB	8.504975970596579	7.620753858801761	4.251370917877544	4.519213333897205
GSM4451414_LM150125	GSM4451414	GCB	6.764147784901141	1.970912065425536	2.9369604765015933	2.1898541654417905
GSM4451415_LM150127	GSM4451415	GCB	7.515108074164072	5.388699378599821	4.945668689062696	3.695235734457399
GSM4451416_LM150132	GSM4451416	GCB	7.678637012115804	6.18283296243122	4.933824575663262	4.925952252047866
GSM4451417_LM150133	GSM4451417	GCB	5.890873306669117	0.8839895756378344	3.3736794502196923	1.4962147783391282
GSM4451418_LM150145	GSM4451418	ABC	5.890048641448803	5.194105858361394	4.158004215957885	2.546584503903237
GSM4451419_LM160011	GSM4451419	Type_3	7.015013597912356	1.282451036053198	3.965233822987234	4.088720584741684
GSM4451420_LM160013	GSM4451420	Type_3	7.564639338383496	5.386380381161505	4.204064158733387	3.793034887719971
GSM4451421_LM160014	GSM4451421	ABC	8.289503089968866	7.804360990436687	5.862263978997538	5.683909334958491
GSM4451422_LM160020	GSM4451422	ABC	5.622963305990826	3.6596532518031872	0.6784538580120429	3.302330556893656
GSM4451423_LM160042	GSM4451423	Type_3	5.530853799763741	4.1298235577966045	1.778712577575598	3.3613390697041505
GSM4451424_LM160043	GSM4451424	Type_3	6.790559258222453	4.311623505797167	3.689107190369115	3.629293640023341
GSM4451425_LM160044	GSM4451425	ABC	6.202154353290075	3.423780428035654	2.2816416193188997	2.795959489001738
GSM4451426_LM160076	GSM4451426	GCB	6.280045991515527	4.712539038354347	2.546164198518985	2.546164198518985
GSM4451427_LM160083	GSM4451427	ABC	7.319262183990096	5.5845741333118415	4.156287232984247	5.382236063768718
